date,transID,quantity,type,price,clientName,stationName,transactionType,transactionFor
2010-07-18 08:14:00,1496004849,10,Cybernetic Subprocessor - Standard,2.210660001E7,,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Personal
2010-07-20 18:37:00,1498897417,30227,Mercury,3803.55,AndrewShishkov,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Personal
2010-07-20 19:39:00,1498963995,31656,Mercury,3803.55,Tso Hwat,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Personal
2010-07-20 23:25:00,1499192603,23653,Mercury,3803.55,Mika 78,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Personal
2010-07-21 15:13:00,1499802095,10484,Mercury,3803.55,Deesse DeLenfer,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Personal
2010-07-22 15:26:00,1500895411,22282,Cataclysm Fury Cruise Missile,251.17,Thovas,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Personal
2010-07-31 05:53:00,1510289921,49640,Republic Fleet Fusion S,555.11,Celaton,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Personal
2010-07-31 18:13:00,1510833041,1,Ocular Filter - Standard,2.249800065E7,sedOFF,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal
2010-07-31 18:15:00,1510835177,1,Ocular Filter - Standard,2.249800065E7,Nozz Adair,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal
2010-07-31 18:17:00,1510837172,4,Sisters Core Scanner Probe,634797.99,lucynovas,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal
2010-07-31 18:18:00,1510837651,1,Ocular Filter - Standard,2.249800065E7,Sir Casket,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal
2010-07-31 18:20:00,1510839093,7,Sisters Core Scanner Probe,634797.99,Tessil Temnoff,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal
2010-07-31 18:20:00,1510839174,5,Sisters Core Scanner Probe,634988.0,L0GISTICS,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal
2010-07-31 18:21:00,1510840601,8000,Republic Fleet Fusion S,816.82,Vil Mulah,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal
2010-07-31 18:30:00,1510849240,8,Sisters Core Scanner Probe,634797.99,Armadillo Kim,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal
2010-07-31 18:32:00,1510850826,2,Sisters Core Scanner Probe,634797.99,Vorrakkk,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal
2010-07-31 18:33:00,1510851979,4,Sisters Core Scanner Probe,634797.99,baby tiger,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal
2010-07-31 18:33:00,1510852233,1,Ocular Filter - Standard,2.249800065E7,ZandraJune,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal
2010-07-31 18:36:00,1510854705,3,Cybernetic Subprocessor - Standard,2.219828791E7,PiCWiK,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal
2010-07-31 18:39:00,1510857842,6,Ocular Filter - Standard,2.249800065E7,PiCWiK,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal
2010-07-31 19:33:00,1510910615,1,Cybernetic Subprocessor - Standard,2.219499999E7,Blomsterpigen,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal
2010-07-31 19:37:00,1510914624,5,Cybernetic Subprocessor - Standard,2.219499999E7,klomp,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal
2010-07-31 20:18:00,1510955748,10000,Republic Fleet Fusion S,816.75,ItsmeHcK3,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal
2010-07-31 21:00:00,1510996244,23,Republic Fleet EMP L,1101.11,Whiskey O'Shaughnessy,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Personal
2010-07-31 21:20:00,1511015295,9280,Republic Fleet EMP L,1101.11,Kai Aukusti,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Buy,Personal
2010-07-31 22:13:00,1511063997,22282,Cataclysm Fury Cruise Missile,287.99,Starbuck Lucas,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal
2010-07-31 23:11:00,1511116183,1500,Republic Fleet Fusion S,816.48,Paowuuka,Jita IV - Moon 4 - Caldari Navy Assembly Plant,Sell,Personal
